Peak Brightness Date/Time (UT),Altitude (km),Latitude (deg),Longitude (deg),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/18/2014 12:50,41,32.8S,61.5W,15.01397728,-7.133333333,8.2,10.35833333,2.60E+10,0.092
2/13/2014 6:47,25,13.3N,110.7W,13.31167251,-7.683333333,7.341666667,8.016666667,6.30E+11,1.5
1/15/2014 2:46,29.6,18.5S,141.8E,16.18591637,-7.566666667,-10.25,-9.983333333,1.40E+11,0.41
1/12/2014 16:00,37,2.9N,64.4E,16.18054387,-5.2,2.6,-15.1,7.80E+10,0.24
1/8/2014 17:05,18.7,1.3S,147.6E,44.83190828,-3.4,-10.3,-43.5,3.10E+10,0.11
12/23/2013 8:30,34.3,39.5N,2.0E,15.13869215,-1.1,-9.9,11.4,1.47E+11,0.43
12/8/2013 3:10,23.5,32.8N,165.1W,11.79957626,2.3,-11.3,2.5,6.40E+10,0.2
11/21/2013 1:50,59.3,44.7N,35.3E,12.38103388,-5,-2.7,-11,7.50E+10,0.23
10/12/2013 16:06,22.2,19.1S,25.0W,12.83783471,-8,-5.5,8.4,1.61E+12,3.5
10/9/2013 17:27,35.23333333,167.35897683425972W,87.8101132458057S,13.75089896,6.85,6.283333333,10.13333333,6.00E+10,0.19
9/24/2013 15:31,40.7,10.3S,164.7W,14.95150959,8.883333333,-7.891666667,-9.075,1.60E+11,0.46
8/12/2013 18:08,66.6,34.4S,118.2E,13.45905571,-8.6,5.958333333,8.466666667,4.40E+10,0.15
7/31/2013 7:00,39.60833333,46.86495132810965W,56.42393590311904N,17.50687167,-8.7,-6.316666667,-13.81666667,3.90E+10,0.13
7/31/2013 3:50,29.1,31.8S,137.1E,17.84908961,17.7,-0.1,-2.3,6.90E+10,0.22
7/30/2013 2:36,25.6,50.2S,90.2E,18.78243861,15.9,5.1,-8.6,3.90E+11,1
7/27/2013 8:30,26.5,0.3N,156.2E,22.11108319,16,-3.3,14.9,1.20E+11,0.36
7/26/2013 11:32,37,21.0N,178.5W,15.01933245,8.166666667,9.45,8.341666667,2.00E+10,0.073
7/18/2013 0:46,35.4,95.5278989567948W,61.369464435257676N,18.55769719,13.88333333,9.941666667,-7.266666667,2.20E+10,0.079
6/13/2013 2:51,35.15833333,140.38088881809963W,10.681403319584419S,13.7822299,7.691666667,-6.725,-9.25,2.20E+10,0.079
6/1/2013 22:49,28.9,65.6S,138.4E,17.36024553,-12.65,6.875,9.7,3.40E+10,0.12
