Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
5/16/2014 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
5/16/2014 12:42,44.2S,176.2W,44,16.5,14.4,4.6,6.5,3.09E+11,0.82
5/8/2014 19:42,36.9S,87.3E,35.4,19,-2,-16.1,9.9,1.05E+12,2.4
3/29/2014 13:45,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,3.90E+10,0.13
1/12/2014 16:00,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,7.80E+10,0.24
1/8/2014 17:05,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,3.10E+10,0.11
12/23/2013 8:30,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,1.47E+11,0.43
12/8/2013 3:10,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,6.40E+10,0.2
11/21/2013 1:50,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,7.50E+10,0.23
10/12/2013 16:06,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,1.61E+12,3.5
7/31/2013 3:50,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,6.90E+10,0.22
7/30/2013 2:36,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,3.90E+11,1
7/27/2013 8:30,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,1.20E+11,0.36
4/30/2013 8:40,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10
4/21/2013 6:23,28.1S,64.6W,40.7,14.9,5,14,1,1.07E+12,2.5
2/20/2013 13:13,23.0S,38.8W,,13.6,-11,-8,-1,3.20E+10,0.1
2/15/2013 3:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
11/20/2012 20:37,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,2.50E+10,0.089
10/19/2012 16:26,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,2.30E+10,0.082
10/9/2012 0:54,51.2N,84.6W,27.8,13.5,3.4,12,5.1,2.10E+11,0.58
10/3/2012 22:50,41.5S,21.9W,,17,-2.4,5.5,15.9,2.80E+11,0.75
10/2/2012 16:38,8.1S,111.9W,35,15.4,1.4,15.3,1,4.70E+11,1.2
9/18/2012 19:34,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,2.44E+11,0.67
9/10/2012 1:03,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,2.30E+10,0.082
8/27/2012 6:57,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,6.80E+10,0.22
8/26/2012 14:55,11.8N,117.0E,36,12.7,5,-11.6,-0.7,2.49E+11,0.68
7/25/2012 7:48,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,1.33E+11,0.39
5/15/2012 11:04,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,1.32E+11,0.39
3/12/2012 6:40,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,9.90E+10,0.3
2/4/2012 14:42,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,1.50E+11,0.43
1/15/2012 12:26,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,2.10E+10,0.076
9/13/2011 23:36,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,6.70E+10,0.21
5/25/2011 5:40,4.1N,14.0E,59,11.6,-3.4,-10.8,2.4,2.28E+12,4.8
4/6/2011 8:30,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,1.48E+11,0.43
3/1/2011 10:37,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,3.70E+10,0.13
2/21/2011 5:07,26.3N,43.7E,44.4,18,10.3,-14.8,0.1,3.90E+10,0.13
12/25/2010 23:24,38.0N,158.0E,26,18.1,18,-2,-4,2.00E+13,33
9/3/2010 12:04,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1.75E+12,3.8
7/6/2010 23:54,34.1S,174.5W,26,15.7,12.1,10,0.2,7.56E+12,14
4/16/2010 4:38,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,8.44E+11,2
3/8/2010 22:02,32.0N,92.9W,52,24.5,19.1,11,10.7,3.23E+11,0.85
2/28/2010 22:24,48.7N,21.0E,37,15.1,-11.7,2.7,-9.1,1.53E+11,0.44
1/15/2010 19:17,8.3S,27.0E,25,14,-9.1,6,8.8,4.92E+11,1.2
11/21/2009 20:53,22.0S,29.2E,38,32.1,3,-17,27,1.00E+13,18
10/8/2009 2:57,4.2S,120.6E,19.1,19.2,14,-16,-6,2.00E+13,33
9/4/2009 2:23,42.5N,110.0E,28.3,24,19.2,-11.6,-8.5,9.65E+11,2.3
8/23/2009 21:17,67.7S,18.3E,34,12.2,-6.9,5.3,8.5,2.80E+11,0.75
6/27/2009 13:08,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,3.20E+10,0.11
4/10/2009 18:42,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,2.70E+11,0.73
2/7/2009 19:51,56.6N,69.8E,40,15.4,-2.4,-1.9,-15.1,1.60E+12,3.5
12/24/2008 15:51,68.9S,102.0W,21.1,24.1,-13.4,18,8.8,3.50E+10,0.12
11/24/2008 22:01,57.9S,146.1E,34.8,23.7,21.5,10,0.4,1.46E+11,0.42
11/21/2008 0:26,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,1.42E+11,0.41
11/18/2008 9:41,29.4S,75.9E,35.2,22.4,-4,-15.2,-16,2.50E+10,0.089
10/21/2008 2:20,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,4.60E+10,0.15
10/7/2008 2:45,20.9N,31.4E,38.9,13.3,-9,9,3.8,3.95E+11,1
8/7/2008 6:07,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,4.10E+10,0.14
7/23/2008 14:45,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,1.21E+11,0.36
7/8/2008 15:55,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,6.60E+10,0.21
7/1/2008 17:40,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,3.60E+10,0.12
6/27/2008 2:01,26.9S,17.7W,33.7,23.1,-17.9,13,6.6,1.72E+11,0.49
5/24/2008 10:18,0.8N,162.0E,37,14.2,7.9,3.1,11.4,1.50E+11,0.43
3/15/2008 11:29,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,5.00E+10,0.16
2/17/2008 12:19,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,1.10E+11,0.33
1/9/2008 3:53,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,4.10E+10,0.14
10/12/2007 9:14,88.5N,116.6E,37,18.4,-4.5,-14.1,-10.9,3.30E+10,0.11
9/22/2007 17:57,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,2.37E+11,0.65
6/11/2007 9:47,23.4S,170.9W,35.2,17,16.7,-2.1,-2.2,4.90E+10,0.16
4/18/2007 12:44,83.7S,171.2W,38,24.4,-5.3,-2.5,23.7,1.12E+11,0.33
3/17/2007 6:48,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,4.00E+10,0.13
1/22/2007 7:24,45.4N,53.5E,32,13.4,-3.3,-12.8,-1.9,7.60E+10,0.24
12/9/2006 6:31,26.2N,26.0E,26.5,15.9,4.9,-15,1.6,7.41E+12,14
10/14/2006 18:10,49.4N,175.0W,44.4,23.9,4.9,23.4,-1,2.58E+11,0.7
9/2/2006 4:26,14.0S,109.1E,44.1,14.2,10,-9.9,1.5,1.23E+12,2.8
7/15/2006 23:55,78.3S,5.0W,29.6,12.4,0.1,2,12.2,8.50E+10,0.26
7/15/2006 15:22,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,1.63E+11,0.47
6/7/2006 0:06,69.2N,22.5E,40.7,19.6,6.1,4.6,-18,5.90E+10,0.19
2/4/2006 8:38,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,1.00E+11,0.3
1/28/2006 3:33,51.7S,56.4E,37,18.7,8.4,-16.4,3.2,7.40E+11,1.8
1/10/2006 23:25,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,2.80E+10,0.098
12/29/2005 10:05,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,1.90E+11,0.53
12/3/2005 12:45,33.8S,117.4E,32.2,17,-12.1,-9.6,7.2,8.80E+10,0.27
11/9/2005 7:33,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,7.30E+10,0.23
8/9/2005 14:35,21.5S,56.2E,37,16.9,-16.3,4.3,1.4,2.50E+10,0.089
6/3/2005 8:15,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,8.20E+10,0.25
5/7/2005 9:31,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,2.60E+10,0.092
4/19/2005 7:37,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,2.32E+11,0.64
1/2/2005 23:09,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,1.19E+11,0.35
10/7/2004 13:14,27.3S,71.5E,35,19.2,-15.3,1,11.6,1.04E+13,18
6/5/2004 20:34,1.3N,174.4W,43,19.5,9.4,17,-1.5,1.81E+12,3.9
4/22/2004 4:21,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,6.24E+11,1.5
4/6/2004 3:24,12.0S,162.8E,35,25.6,10.5,-23.2,-2.9,4.33E+11,1.1
11/10/2003 13:54,64.5S,136.2E,23,20.1,14.8,-8.7,10.4,5.18E+11,1.3
9/27/2003 12:59,21.0N,86.6E,26,18.2,-1,-5.4,-17.3,2.15E+12,4.6
1/4/1998 23:00,35.1S,33.4E,30,17.1,6,-10.6,12,7.40E+10,0.23
